,id,importance_score,gene,chrom,chromStart,chromEnd,strand
35,ENSG00000183682.7,0.006,BMP8A,chr1,39491646,39525935,+
36,ENSG00000198128.3,0.006,OR2L3,chr1,248060682,248061620,+
37,ENSG00000113369.7,0.006,ARRDC3,chr5,91368724,91383359,-
38,ENSG00000269936.3,0.006,RP11-394O4.5,chr5,149430286,149432834,+
39,ENSG00000145283.7,0.006,SLC10A6,chr4,86823468,86849263,-
40,ENSG00000118971.6,0.006,CCND2,chr12,4273772,4305350,+
41,ENSG00000122547.9,0.006,EEPD1,chr7,36153149,36301543,+
42,ENSG00000149090.10,0.006,PAMR1,chr11,35431823,35530300,-
43,ENSG00000184530.8,0.006,C6orf58,chr6,127519455,127591817,+
44,ENSG00000003096.12,0.006,KLHL13,chrX,117897813,118117340,-
45,ENSG00000164283.11,0.005,ESM1,chr5,54977864,55022671,-
46,ENSG00000196381.9,0.005,ZNF781,chr19,37667751,37692322,-
47,ENSG00000248871.1,0.005,TNFSF12-TNFSF13,chr17,7549099,7561601,+
48,ENSG00000109775.9,0.005,UFSP2,chr4,185399540,185425985,-
49,ENSG00000264345.1,0.005,RP11-958F21.1,chr18,24933487,24987682,-
50,ENSG00000232653.7,0.005,GOLGA8N,chr15,32593456,32607310,+
51,ENSG00000072778.18,0.005,ACADVL,chr17,7217125,7225273,+
52,ENSG00000113396.11,0.005,SLC27A6,chr5,128538013,129033642,+
53,ENSG00000179222.16,0.005,MAGED1,chrX,51803007,51902357,+
54,ENSG00000109107.12,0.005,ALDOC,chr17,28573115,28577264,-
55,ENSG00000123562.15,0.004,MORF4L2,chrX,103675496,103688158,-
56,ENSG00000144596.10,0.004,GRIP2,chr3,14489111,14542081,-
57,ENSG00000254707.1,0.004,RP11-35J10.4,chr11,7705288,7709517,+
58,ENSG00000158578.17,0.004,ALAS2,chrX,55009055,55031064,-
59,ENSG00000212206.1,0.004,SNORA69,chr17,8329583,8329719,+
60,ENSG00000257167.2,0.004,TMPO-AS1,chr12,98512973,98516422,-
61,ENSG00000255642.1,0.004,PABPC1P4,chr12,63822021,63823895,+
62,ENSG00000100307.11,0.004,CBX7,chr22,39120167,39152674,-
63,ENSG00000237887.1,0.004,AC092839.1,chr2,54529343,54529801,+
64,ENSG00000204818.4,0.004,RP11-213O5.4,chr9,42795392,42800672,+
65,ENSG00000274220.1,0.004,RP11-77K12.9,chr16,75433836,75436392,+
66,ENSG00000160318.5,0.004,CLDND2,chr19,51367098,51369003,-
67,ENSG00000177098.7,0.004,SCN4B,chr11,118133377,118152888,-
68,ENSG00000188536.11,0.004,HBA2,chr16,172847,173710,+
69,ENSG00000275026.1,0.004,RP11-15E1.1,chr9,66022661,66027719,-
70,ENSG00000270792.4,0.003,RP11-103J8.1,chr20,10672928,10994924,+
71,ENSG00000099953.8,0.003,MMP11,chr22,23768226,23784316,+
72,ENSG00000256164.1,0.003,CCND2-AS1,chr12,4248765,4276184,-
73,ENSG00000125869.8,0.003,LAMP5,chr20,9514358,9530524,+
74,ENSG00000213398.6,0.003,LCAT,chr16,67939750,67944131,-
75,ENSG00000270510.1,0.003,RP11-777F6.3,chr11,87323709,87324359,-
76,ENSG00000167191.10,0.003,GPRC5B,chr16,19856691,19886167,-
77,ENSG00000131370.14,0.003,SH3BP5,chr3,15254853,15341368,-
78,ENSG00000168079.15,0.003,SCARA5,chr8,27869882,27992727,-
79,ENSG00000068489.11,0.003,PRR11,chr17,59155499,59204705,+
80,ENSG00000162494.5,0.003,LRRC38,chr1,13474977,13514048,-
81,ENSG00000167535.6,0.003,CACNB3,chr12,48813794,48828941,+
82,ENSG00000077274.8,0.003,CAPN6,chrX,111245103,111270523,-
83,ENSG00000229224.1,0.003,AC105398.3,chr2,29096843,29097525,-
84,ENSG00000152518.6,0.003,ZFP36L2,chr2,43222402,43226609,-
85,ENSG00000068366.18,0.003,ACSL4,chrX,109624244,109733403,-
86,ENSG00000198848.11,0.003,CES1,chr16,55802851,55833337,-
87,ENSG00000103150.5,0.003,MLYCD,chr16,83899126,83927026,+
88,ENSG00000121898.11,0.003,CPXM2,chr10,123706207,123940267,-
89,ENSG00000254104.2,0.003,RP11-63E5.1,chr8,264315,264672,+
90,ENSG00000160307.8,0.003,S100B,chr21,46598962,46605208,-
91,ENSG00000155846.15,0.003,PPARGC1B,chr5,149730298,149855022,+
92,ENSG00000130635.14,0.003,COL5A1,chr9,134641774,134844843,+
93,ENSG00000140945.14,0.003,CDH13,chr16,82626803,83800640,+
94,ENSG00000121073.12,0.003,SLC35B1,chr17,49700943,49709014,-
95,ENSG00000240057.4,0.003,RP11-572M11.4,chr3,113019532,113183301,+
96,ENSG00000213754.2,0.003,RP11-284B18.3,chrX,64305047,64306733,-
97,ENSG00000229847.7,0.003,EMX2OS,chr10,117473215,117545068,-
98,ENSG00000137831.13,0.003,UACA,chr15,70654554,70763593,-
99,ENSG00000185842.13,0.003,DNAH14,chr1,224896262,225399292,+
100,ENSG00000226197.2,0.003,RP11-536O18.1,chr9,13446491,13487511,+
101,ENSG00000109919.8,0.003,MTCH2,chr11,47617315,47642623,-
102,ENSG00000271745.1,0.003,AC093668.2,chr7,102480080,102480165,+
103,ENSG00000279010.1,0.003,RP5-1039K5.19,chr22,37948352,38002889,+
104,ENSG00000167779.6,0.003,IGFBP6,chr12,53097436,53102345,+
105,ENSG00000279453.1,0.003,RP3-425C14.4,chr6,122436789,122439223,-
106,ENSG00000173391.7,0.003,OLR1,chr12,10158301,10172138,-
107,ENSG00000133104.11,0.003,SPG20,chr13,36301638,36370180,-
108,ENSG00000120334.14,0.003,CENPL,chr1,173799550,173824720,-
109,ENSG00000143183.15,0.002,TMCO1,chr1,165724293,165827755,-
110,ENSG00000253829.1,0.002,RP11-723D22.3,chr8,38844866,38846439,-
111,ENSG00000016602.9,0.002,CLCA4,chr1,86547078,86580754,+
112,ENSG00000221740.1,0.002,SNORD93,chr7,22856613,22856686,+
113,ENSG00000105227.13,0.002,PRX,chr19,40393768,40413366,-
114,ENSG00000226413.2,0.002,OR8T1P,chr12,48442030,48442947,-
115,ENSG00000158769.16,0.002,F11R,chr1,160995211,161021348,-
116,ENSG00000185271.6,0.002,KLHL33,chr14,20428811,20435642,-
117,ENSG00000148204.10,0.002,CRB2,chr9,123356170,123380324,+
118,ENSG00000136531.12,0.002,SCN2A,chr2,165239402,165392310,+
119,ENSG00000160991.14,0.002,ORAI2,chr7,102433106,102456821,+
120,ENSG00000264350.1,0.002,SNRPGP2,chr18,54406889,54407114,-
121,ENSG00000148218.14,0.002,ALAD,chr9,113386317,113401333,-
122,ENSG00000179826.6,0.002,MRGPRX3,chr11,18120955,18138480,+
123,ENSG00000231856.2,0.002,RP11-327P2.5,chr13,51803838,51813832,+
124,ENSG00000189057.9,0.002,FAM111B,chr11,59107185,59127410,+
125,ENSG00000266995.1,0.002,RP11-703I16.3,chr18,12040101,12040300,-
126,ENSG00000134222.15,0.002,PSRC1,chr1,109279556,109283186,-
127,ENSG00000196584.2,0.002,XRCC2,chr7,152644779,152676165,-
128,ENSG00000228868.3,0.002,MYLKP1,chr3,75328549,75339071,-
129,ENSG00000163827.11,0.002,LRRC2,chr3,46515423,46580099,-
130,ENSG00000122592.7,0.002,HOXA7,chr7,27153716,27157936,-
131,ENSG00000263065.1,0.002,AF001548.6,chr16,15741151,15741791,+
132,ENSG00000230124.5,0.002,LHX4-AS1,chr1,180269653,180502954,-
133,ENSG00000177301.12,0.002,KCNA2,chr1,110593580,110631474,-
134,ENSG00000263400.5,0.002,TMEM220-AS1,chr17,10729777,10815164,+
135,ENSG00000265415.1,0.002,CTD-2510F5.4,chr17,59202677,59203829,-
136,ENSG00000130158.12,0.002,DOCK6,chr19,11199295,11262481,-
137,ENSG00000085563.13,0.002,ABCB1,chr7,87503633,87713323,-
138,ENSG00000104888.8,0.002,SLC17A7,chr19,49429401,49442360,-
139,ENSG00000206384.9,0.002,COL6A6,chr3,130560334,130678155,+
140,ENSG00000226409.1,0.002,RP11-735G4.1,chr6,125370211,125374324,-
141,ENSG00000186994.10,0.002,KANK3,chr19,8322584,8343262,-
142,ENSG00000105664.9,0.002,COMP,chr19,18782773,18791314,-
143,ENSG00000254211.4,0.002,LINC01485,chr5,173786790,173809039,-
144,ENSG00000243759.1,0.002,ST13P15,chr3,143517123,143518229,-
145,ENSG00000136143.12,0.002,SUCLA2,chr13,47936487,48001326,-
146,ENSG00000225764.1,0.002,P3H2-AS1,chr3,190120964,190144846,+
147,ENSG00000163463.10,0.002,KRTCAP2,chr1,155169408,155173475,-
148,ENSG00000163815.5,0.002,CLEC3B,chr3,45001548,45036071,+
149,ENSG00000181778.4,0.002,TMEM252,chr9,68536580,68540867,-
150,ENSG00000163162.7,0.002,RNF149,chr2,101271219,101308701,-
151,ENSG00000160703.14,0.002,NLRX1,chr11,119166568,119184016,+
152,ENSG00000099260.9,0.002,PALMD,chr1,99645943,99694541,+
153,ENSG00000185897.6,0.002,FFAR3,chr19,35358460,35360485,+
154,ENSG00000211574.1,0.002,MIR770,chr14,100852390,100852487,+
155,ENSG00000123500.8,0.002,COL10A1,chr6,116118923,116158747,-
156,ENSG00000227158.1,0.002,AC073621.2,chr17,17422681,17423704,+
157,ENSG00000260940.1,0.002,RP4-575N6.5,chr1,101243158,101243749,+
158,ENSG00000257766.1,0.002,RP11-341G23.3,chr12,103668575,103669406,-
159,ENSG00000154134.13,0.002,ROBO3,chr11,124865386,124881470,+
160,ENSG00000128268.11,0.002,MGAT3,chr22,39457344,39492194,+
161,ENSG00000234235.1,0.002,BOK-AS1,chr2,241544403,241558977,-
162,ENSG00000144857.13,0.002,BOC,chr3,113211003,113287459,+
163,ENSG00000173530.5,0.002,TNFRSF10D,chr8,23135588,23164030,-
164,ENSG00000111452.11,0.002,GPR133,chr12,130953907,131141469,+
165,ENSG00000197776.6,0.002,KLHDC1,chr14,49693105,49753152,+
166,ENSG00000111404.5,0.002,RERGL,chr12,18080869,18320107,-
167,ENSG00000183638.5,0.002,RP1L1,chr8,10606349,10712187,-
168,ENSG00000130226.15,0.002,DPP6,chr7,153887097,154894285,+
169,ENSG00000258133.1,0.002,RP11-340M11.1,chr12,58394596,58395138,+
170,ENSG00000214289.2,0.002,RPL39P5,chr3,134351852,134356561,-
171,ENSG00000143368.9,0.002,SF3B4,chr1,149923317,149928344,-
172,ENSG00000203879.10,0.002,GDI1,chrX,154436913,154443467,+
173,ENSG00000186453.11,0.002,FAM228A,chr2,24175069,24200849,+
174,ENSG00000277763.1,0.002,CTD-2588E21.1,chr14,56117316,56117990,-
175,ENSG00000253688.1,0.002,RP11-567J20.2,chr8,48552015,48556441,-
176,ENSG00000243742.4,0.002,RPLP0P2,chr11,61615036,61639449,+
177,ENSG00000242268.2,0.001,RP11-368I23.2,chr3,168903366,168921996,+
178,ENSG00000123560.12,0.001,PLP1,chrX,103773718,103792619,+
179,ENSG00000136842.12,0.001,TMOD1,chr9,97501180,97601748,+
180,ENSG00000149575.5,0.001,SCN2B,chr11,118161951,118176673,-
181,ENSG00000279688.1,0.001,RP11-1221G12.3,chr9,65878766,65894790,+
182,ENSG00000253250.2,0.001,C8orf88,chr8,90958637,90985257,-
183,ENSG00000182180.12,0.001,MRPS16,chr10,73248843,73252693,-
184,ENSG00000091972.17,0.001,CD200,chr3,112332347,112362812,+
185,ENSG00000172927.6,0.001,MYEOV,chr11,69294138,69367726,+
186,ENSG00000126218.10,0.001,F10,chr13,113122814,113149529,+
187,ENSG00000140299.10,0.001,BNIP2,chr15,59659146,59689534,-
188,ENSG00000243018.1,0.001,RP5-1070G24.2,chr7,151249325,151254390,+
189,ENSG00000163882.8,0.001,POLR2H,chr3,184361718,184368596,+
190,ENSG00000044574.7,0.001,HSPA5,chr9,125234853,125241330,-
191,ENSG00000234688.1,0.001,RP1-293L6.1,chr22,36703918,36721472,+
192,ENSG00000167074.13,0.001,TEF,chr22,41367333,41399326,+
193,ENSG00000146232.13,0.001,NFKBIE,chr6,44258166,44265788,-
194,ENSG00000262481.4,0.001,C17orf61-PLSCR3,chr17,7389734,7404097,-
195,ENSG00000114698.13,0.001,PLSCR4,chr3,146192339,146251179,-
196,ENSG00000275830.1,0.001,RP11-403A3.3,chr13,109988097,110057331,-
197,ENSG00000276386.1,0.001,RP11-203I2.1,chr9,67059560,67293468,+
198,ENSG00000163964.12,0.001,PIGX,chr3,196639775,196736007,+
199,ENSG00000249751.3,0.001,ECSCR,chr5,139448556,139462743,-
200,ENSG00000115163.13,0.001,CENPA,chr2,26764289,26801067,+
201,ENSG00000128596.15,0.001,CCDC136,chr7,128790757,128822132,+
202,ENSG00000215237.6,0.001,RP11-54D18.2,chr9,14993312,15019729,+
203,ENSG00000264081.1,0.001,AL136985.1,chr1,58764849,58764935,-
204,ENSG00000178531.5,0.001,CTXN1,chr19,7924485,7926166,-
205,ENSG00000114354.11,0.001,TFG,chr3,100709331,100748966,+
206,ENSG00000086289.10,0.001,EPDR1,chr7,37683843,37951941,+
207,ENSG00000112782.14,0.001,CLIC5,chr6,45898451,46080395,-
208,ENSG00000278023.3,0.001,RDM1,chr17,35918066,35930773,-
209,ENSG00000158435.6,0.001,CNOT11,chr2,101252802,101270316,+
210,ENSG00000130528.10,0.001,HRC,chr19,49151198,49155424,-
211,ENSG00000204403.8,0.001,CASP12,chr11,104885718,104898670,-
212,ENSG00000145911.5,0.001,N4BP3,chr5,178113443,178126087,+
213,ENSG00000228704.1,0.001,RP11-138M12.1,chr6,125425627,125445183,-
214,ENSG00000099364.15,0.001,FBXL19,chr16,30923055,30948783,+
215,ENSG00000249436.1,0.001,CTD-2023N9.3,chr5,57614389,57617431,+
216,ENSG00000277684.1,0.001,RP11-305D15.8,chr13,48340797,48341330,-
217,ENSG00000182771.16,0.001,GRID1,chr10,85599555,86366493,-
218,ENSG00000204851.6,0.001,PNMAL2,chr19,46486906,46496498,-
219,ENSG00000017427.14,0.001,IGF1,chr12,102395867,102480645,-
220,ENSG00000249955.1,0.001,RP11-6E9.4,chr4,169981747,169993806,+
221,ENSG00000188322.4,0.001,SBK1,chr16,28292519,28323849,+
222,ENSG00000198483.11,0.001,ANKRD35,chr1,145866560,145885866,-
223,ENSG00000234961.1,0.001,RP11-124N14.3,chr10,17233325,17234833,-
224,ENSG00000111879.17,0.001,FAM184A,chr6,118959763,119149387,-
225,ENSG00000118276.10,0.001,B4GALT6,chr18,31622247,31685836,-
226,ENSG00000223403.3,0.001,MEG9,chr14,101069911,101072937,+
227,ENSG00000273162.1,0.001,RP11-108L7.15,chr10,101060029,101061005,-
228,ENSG00000074416.12,0.001,MGLL,chr3,127689062,127823250,-
229,ENSG00000213071.9,0.001,LPAL2,chr6,160453428,160511124,-
230,ENSG00000206658.1,0.001,RNU6-1039P,chr9,110369592,110369698,-
231,ENSG00000229498.1,0.001,AC105053.3,chr2,85815130,85825391,+
232,ENSG00000146278.10,0.001,PNRC1,chr6,89080751,89085160,+
233,ENSG00000257252.4,0.001,RP11-486A14.2,chr12,93317135,93377736,-
234,ENSG00000223509.7,0.001,RP11-632K20.7,chr15,32519848,32536926,-
235,ENSG00000160714.8,0.001,UBE2Q1,chr1,154548577,154559028,-
236,ENSG00000153902.12,0.001,LGI4,chr19,35124513,35142451,-
237,ENSG00000239650.4,0.001,GUSBP4,chr6,57919784,57930291,-
238,ENSG00000114126.16,0.001,TFDP2,chr3,141944428,142149544,-
239,ENSG00000231165.3,0.001,TRBV26OR9-2,chr9,33695767,33696059,+
240,ENSG00000142731.9,0.001,PLK4,chr4,127880861,127899195,+
241,ENSG00000228162.1,0.001,AC097713.3,chr2,234438328,234462127,+
242,ENSG00000175806.13,0.001,MSRA,chr8,10054268,10428891,+
243,ENSG00000150337.12,0.001,FCGR1A,chr1,149782671,149792518,+
244,ENSG00000112530.10,0.001,PACRG,chr6,162727132,163315492,+
245,ENSG00000180185.10,0.001,FAHD1,chr16,1826941,1840207,+
246,ENSG00000103647.11,0.001,CORO2B,chr15,68578969,68727806,+
247,ENSG00000112425.12,0.001,EPM2A,chr6,145501583,145736024,-
248,ENSG00000140557.10,0.001,ST8SIA2,chr15,92393828,92468728,+
249,ENSG00000147155.9,0.001,EBP,chrX,48521158,48528716,+
250,ENSG00000092820.16,0.001,EZR,chr6,158765741,158819412,-
251,ENSG00000147669.9,0.001,POLR2K,chr8,100150584,100154002,+
252,ENSG00000140650.10,0.001,PMM2,chr16,8788823,8849331,+
253,ENSG00000173976.14,0.001,RAX2,chr19,3769089,3772221,-
254,ENSG00000227188.1,0.001,MGAT3-AS1,chr22,39475807,39476822,-
255,ENSG00000259244.1,0.001,RP11-182J1.12,chr15,84513241,84526949,-
256,ENSG00000197894.9,0.001,ADH5,chr4,99070978,99088801,-
257,ENSG00000081377.15,0.001,CDC14B,chr9,96490241,96619830,-
258,ENSG00000224239.1,0.001,AC090044.2,chr3,857124,858091,+
259,ENSG00000128591.14,0.001,FLNC,chr7,128830377,128859274,+
260,ENSG00000152092.14,0.001,ASTN1,chr1,176857302,177164973,-
261,ENSG00000162896.5,0.001,PIGR,chr1,206928518,206946466,-
262,ENSG00000129038.14,0.001,LOXL1,chr15,73925989,73952137,+
263,ENSG00000127241.15,0.001,MASP1,chr3,187217285,187292022,-
264,ENSG00000119929.11,0.001,CUTC,chr10,99702558,99756134,+
265,ENSG00000270412.1,0.001,RP11-92C4.6,chr9,98943337,98943775,-
266,ENSG00000272789.1,0.001,RP11-286H15.1,chr2,127625997,127626848,-
267,ENSG00000272414.4,0.001,FAM47E-STBD1,chr4,76251721,76311129,+
268,ENSG00000160710.14,0.001,ADAR,chr1,154582062,154627999,-
269,ENSG00000236166.1,0.001,RP3-523C21.2,chr6,132085084,132099279,+
270,ENSG00000106537.7,0.001,TSPAN13,chr7,16753535,16784536,+
271,ENSG00000142871.14,0.001,CYR61,chr1,85580761,85583962,+
272,ENSG00000277879.1,0.001,RP11-129M16.4,chr10,117267116,117268668,-
273,ENSG00000198865.8,0.001,CCDC152,chr5,42756801,42802360,+
274,ENSG00000135218.16,0.001,CD36,chr7,80369575,80679277,+
275,ENSG00000267299.1,0.001,CTB-66B24.1,chr19,6109322,6125797,+
276,ENSG00000112182.13,0.001,BACH2,chr6,89926529,90296908,-
277,ENSG00000197321.13,0.001,SVIL,chr10,29457338,29736781,-
278,ENSG00000123136.13,0.001,DDX39A,chr19,14408819,14419383,-
279,ENSG00000003436.13,0.001,TFPI,chr2,187464230,187565760,-
280,ENSG00000182732.15,0.001,RGS6,chr14,71932439,72566529,+
281,ENSG00000272631.1,0.001,RP11-359E3.4,chr10,86749754,86756298,-
282,ENSG00000228063.1,0.001,LYPLAL1-AS1,chr1,219086602,219173961,-
283,ENSG00000053747.14,0.001,LAMA3,chr18,23689443,23955066,+
284,ENSG00000172159.14,0.001,FRMD3,chr9,83242990,83538546,-
285,ENSG00000238057.7,0.001,ZEB2-AS1,chr2,144518097,144521477,+
286,ENSG00000168005.7,0.001,C11orf84,chr11,63813388,63827718,+
287,ENSG00000213625.7,0.001,LEPROT,chr1,65420587,65436007,+
288,ENSG00000196510.11,0.001,ANAPC7,chr12,110372900,110403730,-
289,ENSG00000114346.12,0.001,ECT2,chr3,172750682,172821474,+
290,ENSG00000025423.10,0.001,HSD17B6,chr12,56752161,56787790,+
291,ENSG00000259969.1,0.001,RP11-999E24.3,chr14,57993545,57994525,-
292,ENSG00000173757.8,0.001,STAT5B,chr17,42199168,42276707,-
293,ENSG00000157510.12,0.001,AFAP1L1,chr5,149271871,149341802,+
294,ENSG00000259430.1,0.001,CERS3-AS1,chr15,100372939,100437914,+
295,ENSG00000171357.5,0.001,LURAP1,chr1,46203334,46221261,+
296,ENSG00000272508.1,0.001,RP11-96C23.14,chr10,86993432,87024732,+
297,ENSG00000237159.4,0.001,CNTFR-AS1,chr9,34568015,34582829,+
298,ENSG00000137745.10,0.001,MMP13,chr11,102942995,102955734,-
299,ENSG00000274340.1,0.001,RP11-435J9.2,chr15,62387327,62388875,-
300,ENSG00000046653.13,0.001,GPM6B,chrX,13771031,13938638,-
301,ENSG00000130035.5,0.001,GALNT8,chr12,4720341,4851927,+
302,ENSG00000184481.15,0.001,FOXO4,chrX,71096197,71103535,+
303,ENSG00000142661.17,0.001,MYOM3,chr1,24056035,24112175,-
304,ENSG00000102172.14,0.001,SMS,chrX,21940573,21994835,+
305,ENSG00000101230.5,0.001,ISM1,chr20,13221771,13300651,+
306,ENSG00000051596.8,0.001,THOC3,chr5,175917873,176034680,-
307,ENSG00000132622.9,0.001,HSPA12B,chr20,3732667,3753111,+
308,ENSG00000078725.11,0.001,BRINP1,chr9,119153458,119369467,-
309,ENSG00000226849.1,0.001,RP4-635E18.7,chr1,11068471,11073097,+
310,ENSG00000165507.8,0.001,C10orf10,chr10,44970981,44978810,-
311,ENSG00000162882.13,0.001,HAAO,chr2,42767089,42792593,-
312,ENSG00000119714.9,0.001,GPR68,chr14,91232532,91253925,-
313,ENSG00000132196.12,0.001,HSD17B7,chr1,162790702,162812817,+
314,ENSG00000050426.14,0.001,LETMD1,chr12,51047962,51060424,+
315,ENSG00000232871.7,0.001,SEC1P,chr19,48638071,48682245,+
316,ENSG00000231518.1,0.001,RP11-327L3.3,chr9,35930012,35937151,+
317,ENSG00000165269.11,0.001,AQP7,chr9,33383179,33402682,-
318,ENSG00000119900.7,0.001,OGFRL1,chr6,71288803,71308950,+
319,ENSG00000189184.10,0.001,PCDH18,chr4,137518918,137532494,-
320,ENSG00000165197.4,0.001,FIGF,chrX,15345591,15384376,-
321,ENSG00000259728.4,0.001,LINC00933,chr15,84570649,84580175,+
322,ENSG00000238198.1,0.001,RP11-31F15.2,chr1,113011687,113073105,-
323,ENSG00000169991.9,0.001,IFFO2,chr1,18904281,18956686,-
324,ENSG00000012822.14,0.001,CALCOCO1,chr12,53708517,53727745,-
325,ENSG00000250685.6,0.001,RP11-486L19.2,chr16,84192558,84197053,-
326,ENSG00000198860.10,0.001,TSEN15,chr1,184051677,184074212,+
327,ENSG00000274818.1,0.001,RP1-292L20.3,chr14,70906657,70907111,-
328,ENSG00000204136.9,0.001,GGTA1P,chr9,121444991,121500027,-
329,ENSG00000256654.2,0.001,RP11-429A20.4,chr12,5023682,5025594,+
330,ENSG00000164818.14,0.001,DNAAF5,chr7,726701,786475,+
331,ENSG00000256790.1,0.001,RP11-429A20.3,chr12,5018465,5021713,+
332,ENSG00000270212.1,0.001,CTD-2540B15.12,chr19,33283978,33285739,-
333,ENSG00000171773.2,0.001,NXNL1,chr19,17455425,17460954,-
334,ENSG00000109654.13,0.001,TRIM2,chr4,153152342,153339320,+
335,ENSG00000164919.9,0.001,COX6C,chr8,99873200,99894062,-
336,ENSG00000172059.9,0.001,KLF11,chr2,10042849,10054836,+
337,ENSG00000137675.4,0.001,MMP27,chr11,102691487,102705806,-
338,ENSG00000128016.5,0.001,ZFP36,chr19,39406813,39409412,+
339,ENSG00000182175.12,0.001,RGMA,chr15,93035273,93089204,-
340,ENSG00000212719.9,0.001,C17orf51,chr17,21524790,21574458,-
341,ENSG00000136522.12,0.001,MRPL47,chr3,179588285,179604654,-
342,ENSG00000235832.2,0.001,CNN2P3,chr9,64486164,64487069,-
343,ENSG00000077157.19,0.001,PPP1R12B,chr1,202348699,202592706,+
344,ENSG00000244734.2,0.001,HBB,chr11,5225464,5229395,-
345,ENSG00000143106.11,0.001,PSMA5,chr1,109399031,109426427,-
346,ENSG00000078399.14,0.001,HOXA9,chr7,27162435,27175180,-
347,ENSG00000259920.1,0.001,RP11-2E11.5,chr7,130481491,130484392,-
348,ENSG00000101955.13,0.001,SRPX,chrX,38149336,38220924,-
349,ENSG00000137699.15,0.001,TRIM29,chr11,120111275,120185529,-
350,ENSG00000158850.13,0.001,B4GALT3,chr1,161171310,161177968,-
351,ENSG00000275088.1,0.001,RP11-442O1.3,chr16,85142696,85146001,-
352,ENSG00000153993.12,0.001,SEMA3D,chr7,84995553,85186855,-
353,ENSG00000091513.13,0.001,TF,chr3,133745956,133779006,+
354,ENSG00000257327.1,0.001,RP11-650K20.3,chr12,103841451,103844664,+
355,ENSG00000232434.2,0.001,C9orf172,chr9,136844415,136848801,+
356,ENSG00000136848.15,0.001,DAB2IP,chr9,121567057,121785530,+
357,ENSG00000171067.9,0.001,C11orf24,chr11,68261335,68272001,-
358,ENSG00000144485.9,0.001,HES6,chr2,238238267,238240662,-
359,ENSG00000124562.8,0.001,SNRPC,chr6,34757406,34773794,+
360,ENSG00000244513.5,0.001,CTD-2013N24.2,chr3,69013941,69056622,+
361,ENSG00000104219.11,0.001,ZDHHC2,chr8,17156029,17224799,+
362,ENSG00000143549.18,0.001,TPM3,chr1,154155304,154194648,-
363,ENSG00000154736.5,0.001,ADAMTS5,chr21,26917912,26966513,-
364,ENSG00000229167.1,0.001,RP11-73M7.1,chr1,31571585,31575573,-
365,ENSG00000108106.12,0.001,UBE2S,chr19,55399745,55407777,-
366,ENSG00000234471.1,0.001,AC147651.1,chr7,484107,496118,-
367,ENSG00000255090.4,0.001,MIR100HG,chr11,122155422,122422871,-
