,id,importance_score,gene,chrom,chromStart,chromEnd,strand
37,ENSG00000278910.2,0.007,BANCR,chr9,69296682,69306977,-
38,ENSG00000067177.13,0.007,PHKA1,chrX,72578814,72714319,-
39,ENSG00000179889.17,0.007,PDXDC1,chr16,14974591,15139339,+
40,ENSG00000200372.1,0.006,RNU5E-8P,chr3,116965112,116965227,-
41,ENSG00000185561.9,0.006,TLCD2,chr17,1702790,1710438,-
42,ENSG00000143324.12,0.006,XPR1,chr1,180632004,180890251,+
43,ENSG00000130675.13,0.006,MNX1,chr7,156994051,157010651,-
44,ENSG00000130768.13,0.006,SMPDL3B,chr1,27934993,27959157,+
45,ENSG00000197930.11,0.006,ERO1L,chr14,52639916,52695900,-
46,ENSG00000237803.4,0.006,LINC00211,chr2,37826247,37876274,-
47,ENSG00000204161.12,0.005,C10orf128,chr10,49154725,49188585,-
48,ENSG00000137700.15,0.005,SLC37A4,chr11,119024114,119030906,-
49,ENSG00000171885.12,0.005,AQP4,chr18,26852038,26865818,-
50,ENSG00000188372.13,0.005,ZP3,chr7,76397518,76442071,+
51,ENSG00000113070.7,0.005,HBEGF,chr5,140332843,140346631,-
52,ENSG00000090621.12,0.005,PABPC4,chr1,39560816,39576790,-
53,ENSG00000233903.2,0.005,Z83851.4,chr22,42276355,42277052,+
54,ENSG00000040275.15,0.005,SPDL1,chr5,169583634,169604778,+
55,ENSG00000204839.7,0.005,MROH6,chr8,143566187,143572971,-
56,ENSG00000130164.10,0.005,LDLR,chr19,11089362,11133816,+
57,ENSG00000226851.1,0.005,AC004112.4,chr7,112328189,112409623,-
58,ENSG00000079385.20,0.005,CEACAM1,chr19,42507304,42561234,-
59,ENSG00000168484.11,0.005,SFTPC,chr8,22156913,22164479,+
60,ENSG00000106178.5,0.005,CCL24,chr7,75811665,75823356,-
61,ENSG00000100012.10,0.004,SEC14L3,chr22,30447959,30472049,-
62,ENSG00000112799.7,0.004,LY86,chr6,6588108,6654983,+
63,ENSG00000100078.3,0.004,PLA2G3,chr22,31134809,31140607,-
64,ENSG00000035141.6,0.004,FAM136A,chr2,70295975,70302090,-
65,ENSG00000152137.5,0.004,HSPB8,chr12,119178642,119221131,+
66,ENSG00000156697.11,0.004,UTP14A,chrX,129906121,129929761,+
67,ENSG00000272666.1,0.004,CTA-384D8.35,chr22,50542305,50542906,-
68,ENSG00000109906.12,0.004,ZBTB16,chr11,114059593,114250676,+
69,ENSG00000074201.7,0.004,CLNS1A,chr11,77514936,77637805,-
70,ENSG00000120370.11,0.004,GORAB,chr1,170532129,170553446,+
71,ENSG00000204713.9,0.004,TRIM27,chr6,28903002,28923989,-
72,ENSG00000180182.9,0.004,MED14,chrX,40648306,40735858,-
73,ENSG00000142945.11,0.004,KIF2C,chr1,44739818,44767767,+
74,ENSG00000197713.13,0.004,RPE,chr2,210002565,210022259,+
75,ENSG00000103343.11,0.004,ZNF174,chr16,3401235,3409370,+
76,ENSG00000189134.3,0.004,NKAPL,chr6,28259320,28260958,+
77,ENSG00000130598.14,0.004,TNNI2,chr11,1838989,1841680,+
78,ENSG00000114854.6,0.004,TNNC1,chr3,52451102,52454070,-
79,ENSG00000251230.4,0.004,RP11-701P16.5,chr4,184844585,184855751,-
80,ENSG00000132671.5,0.004,SSTR4,chr20,23035386,23036812,+
81,ENSG00000206630.1,0.003,SNORD60,chr16,2155023,2155105,-
82,ENSG00000008300.13,0.003,CELSR3,chr3,48636469,48662915,-
83,ENSG00000099953.8,0.003,MMP11,chr22,23768226,23784316,+
84,ENSG00000257542.4,0.003,OR7E47P,chr12,52079696,52108261,+
85,ENSG00000183154.1,0.003,RP11-863K10.7,chr8,37734761,37737426,-
86,ENSG00000265752.2,0.003,RP11-403A21.1,chr18,23957754,23982556,-
87,ENSG00000085978.20,0.003,ATG16L1,chr2,233210051,233295674,+
88,ENSG00000224081.6,0.003,LINC01057,chr1,94638461,94820281,-
89,ENSG00000237470.3,0.003,DCLRE1CP1,chr10,15015370,15021863,-
90,ENSG00000215771.2,0.003,LRRC37A14P,chr22,41189727,41190188,-
91,ENSG00000231698.2,0.003,AP002856.5,chr11,131253422,131350917,+
92,ENSG00000188322.4,0.003,SBK1,chr16,28292519,28323849,+
93,ENSG00000274248.1,0.003,AJ011932.1,chr21,45974489,45974953,+
94,ENSG00000122877.12,0.003,EGR2,chr10,62811996,62919900,-
95,ENSG00000233476.3,0.003,EEF1A1P6,chr7,22510616,22511999,-
96,ENSG00000266524.2,0.003,GDF10,chr10,47300386,47313547,+
97,ENSG00000225880.5,0.003,LINC00115,chr1,826206,827522,-
98,ENSG00000272183.1,0.003,RP11-523H20.3,chr2,74501717,74502365,+
99,ENSG00000258429.1,0.003,PDF,chr16,69328621,69330595,-
100,ENSG00000125848.9,0.003,FLRT3,chr20,14322988,14337616,-
101,ENSG00000078098.12,0.003,FAP,chr2,162170684,162245151,-
102,ENSG00000161654.8,0.003,LSM12,chr17,44034635,44067619,-
103,ENSG00000070614.13,0.003,NDST1,chr5,150485818,150558211,+
104,ENSG00000152253.7,0.003,SPC25,chr2,168834132,168913371,-
105,ENSG00000135763.8,0.003,URB2,chr1,229626234,229660199,+
106,ENSG00000241370.4,0.003,RPP21,chr6,30345131,30346884,+
107,ENSG00000115598.8,0.003,IL1RL2,chr2,102186973,102240002,+
108,ENSG00000171763.16,0.003,SPATA5L1,chr15,45402331,45421419,+
109,ENSG00000166275.14,0.003,C10orf32,chr10,102854223,102864961,+
110,ENSG00000197446.7,0.003,CYP2F1,chr19,41114432,41128366,+
111,ENSG00000085999.10,0.002,RAD54L,chr1,46247688,46278473,+
112,ENSG00000151651.14,0.002,ADAM8,chr10,133262403,133276868,-
113,ENSG00000137648.15,0.002,TMPRSS4,chr11,118077012,118121890,+
114,ENSG00000272463.1,0.002,RP11-532F6.3,chr6,708592,711405,-
115,ENSG00000204147.8,0.002,ASAH2B,chr10,50739318,50816495,+
116,ENSG00000214708.4,0.002,AC090616.2,chr17,32141226,32143135,-
117,ENSG00000130762.13,0.002,ARHGEF16,chr1,3454426,3481113,+
118,ENSG00000249751.3,0.002,ECSCR,chr5,139448556,139462743,-
119,ENSG00000150977.10,0.002,RILPL2,chr12,123410683,123436717,-
120,ENSG00000163072.13,0.002,NOSTRIN,chr2,168786539,168865514,+
121,ENSG00000061656.8,0.002,SPAG4,chr20,35615892,35621049,+
122,ENSG00000273162.1,0.002,RP11-108L7.15,chr10,101060029,101061005,-
123,ENSG00000146376.9,0.002,ARHGAP18,chr6,129576132,129710225,-
124,ENSG00000231890.6,0.002,DARS-AS1,chr2,135985176,136022593,+
125,ENSG00000117262.17,0.002,GPR89A,chr1,145607990,145670648,+
126,ENSG00000188483.7,0.002,IER5L,chr9,129175552,129178262,-
127,ENSG00000176014.11,0.002,TUBB6,chr18,12307669,12344320,+
128,ENSG00000140525.16,0.002,FANCI,chr15,89243949,89317261,+
129,ENSG00000006530.14,0.002,AGK,chr7,141551189,141655244,+
130,ENSG00000146205.12,0.002,ANO7,chr2,241188509,241225377,+
131,ENSG00000183090.5,0.002,FREM3,chr4,143577302,143700675,-
132,ENSG00000119723.14,0.002,COQ6,chr14,73949926,73963670,+
133,ENSG00000109255.10,0.002,NMU,chr4,55595229,55636698,-
134,ENSG00000267405.1,0.002,CTC-296K1.4,chr17,44794747,44797783,-
135,ENSG00000198668.9,0.002,CALM1,chr14,90396502,90408261,+
136,ENSG00000242598.1,0.002,MED28P8,chr1,81557121,81557832,-
137,ENSG00000145545.10,0.002,SRD5A1,chr5,6633343,6674386,+
138,ENSG00000101181.16,0.002,MTG2,chr20,62183029,62203568,+
139,ENSG00000068001.12,0.002,HYAL2,chr3,50317790,50322906,-
140,ENSG00000131778.16,0.002,CHD1L,chr1,147242641,147295766,+
141,ENSG00000124602.8,0.002,UNC5CL,chr6,41026911,41039217,-
142,ENSG00000115380.17,0.002,EFEMP1,chr2,55865967,55924139,-
143,ENSG00000185972.5,0.002,CCIN,chr9,36169394,36171334,+
144,ENSG00000144591.16,0.002,GMPPA,chr2,219498867,219506988,+
145,ENSG00000134020.7,0.002,PEBP4,chr8,22713251,23000000,-
146,ENSG00000125459.13,0.002,MSTO1,chr1,155610205,155614967,+
147,ENSG00000123119.10,0.002,NECAB1,chr8,90791550,90959408,+
148,ENSG00000143498.16,0.002,TAF1A,chr1,222557902,222589933,-
149,ENSG00000029993.13,0.002,HMGB3,chrX,150980509,150990775,+
150,ENSG00000169718.16,0.002,DUS1L,chr17,82057506,82065887,-
151,ENSG00000252061.1,0.002,RNU6-415P,chr15,78898840,78898936,-
152,ENSG00000162521.17,0.002,RBBP4,chr1,32651142,32686211,+
153,ENSG00000137819.12,0.002,PAQR5,chr15,69298947,69407780,+
154,ENSG00000162493.15,0.002,PDPN,chr1,13583465,13617957,+
155,ENSG00000086598.9,0.002,TMED2,chr12,123584531,123598577,+
156,ENSG00000125247.14,0.002,TMTC4,chr13,100603927,100675093,-
157,ENSG00000080031.8,0.001,PTPRH,chr19,55181248,55209506,-
158,ENSG00000163221.8,0.001,S100A12,chr1,153373706,153375649,-
159,ENSG00000158246.7,0.001,FAM46B,chr1,27005020,27012836,-
160,ENSG00000108468.13,0.001,CBX1,chr17,48070052,48101521,-
161,ENSG00000168481.7,0.001,LGI3,chr8,22146825,22157084,-
162,ENSG00000068120.13,0.001,COASY,chr17,42561467,42566277,+
163,ENSG00000110074.9,0.001,FOXRED1,chr11,126269055,126278131,+
164,ENSG00000159713.9,0.001,TPPP3,chr16,67389809,67393535,-
165,ENSG00000031081.9,0.001,ARHGAP31,chr3,119294373,119420714,+
166,ENSG00000134531.8,0.001,EMP1,chr12,13196716,13219939,+
167,ENSG00000137575.10,0.001,SDCBP,chr8,58552924,58582860,+
168,ENSG00000205213.12,0.001,LGR4,chr11,27365961,27472775,-
169,ENSG00000105778.16,0.001,AVL9,chr7,32495426,32588721,+
170,ENSG00000157734.12,0.001,SNX22,chr15,64151715,64157481,+
171,ENSG00000116922.13,0.001,C1orf109,chr1,37681570,37692249,-
172,ENSG00000135604.9,0.001,STX11,chr6,144150526,144188370,+
173,ENSG00000094804.8,0.001,CDC6,chr17,40287633,40304657,+
174,ENSG00000106683.13,0.001,LIMK1,chr7,74082933,74122525,+
175,ENSG00000120705.11,0.001,ETF1,chr5,138506095,138543300,-
176,ENSG00000081041.8,0.001,CXCL2,chr4,74097035,74099293,-
177,ENSG00000226871.1,0.001,AC135178.7,chr17,8318088,8318712,-
178,ENSG00000183765.19,0.001,CHEK2,chr22,28687743,28742422,-
179,ENSG00000272908.1,0.001,RP11-121A8.1,chr7,38326070,38329643,-
180,ENSG00000182985.15,0.001,CADM1,chr11,115169218,115504957,-
181,ENSG00000149418.9,0.001,ST14,chr11,130159562,130210376,+
182,ENSG00000229671.1,0.001,LINC01150,chr11,1902647,1907915,+
183,ENSG00000101335.8,0.001,MYL9,chr20,36541484,36551447,+
184,ENSG00000118526.6,0.001,TCF21,chr6,133889138,133895553,+
185,ENSG00000188906.12,0.001,LRRK2,chr12,40196744,40369285,+
186,ENSG00000013306.14,0.001,SLC25A39,chr17,44319625,44324870,-
187,ENSG00000135127.10,0.001,CCDC64,chr12,119989869,120094494,+
188,ENSG00000179133.10,0.001,C10orf67,chr10,23267195,23344845,-
189,ENSG00000149380.10,0.001,P4HA3,chr11,74235801,74311657,-
190,ENSG00000232618.1,0.001,RP11-439L18.1,chr6,142950211,142956646,+
191,ENSG00000162063.11,0.001,CCNF,chr16,2429394,2458854,+
192,ENSG00000035499.11,0.001,DEPDC1B,chr5,60596912,60700190,-
193,ENSG00000101311.14,0.001,FERMT1,chr20,6074845,6123544,-
194,ENSG00000108671.8,0.001,PSMD11,chr17,32444261,32483318,+
195,ENSG00000169554.15,0.001,ZEB2,chr2,144384081,144524583,-
196,ENSG00000143748.16,0.001,NVL,chr1,224227334,224330387,-
197,ENSG00000274523.3,0.001,WBSCR16,chr7,75027122,75074228,-
198,ENSG00000154309.8,0.001,DISP1,chr1,222872271,223005995,+
199,ENSG00000248243.1,0.001,RP11-93K22.13,chr3,130089433,130094304,-
200,ENSG00000237887.1,0.001,AC092839.1,chr2,54529343,54529801,+
201,ENSG00000140932.8,0.001,CMTM2,chr16,66579448,66588275,+
202,ENSG00000179041.3,0.001,RRS1,chr8,66429028,66430733,+
203,ENSG00000220205.7,0.001,VAMP2,chr17,8159149,8163546,-
204,ENSG00000085733.14,0.001,CTTN,chr11,70398404,70436584,+
205,ENSG00000163563.7,0.001,MNDA,chr1,158831317,158849506,+
206,ENSG00000173638.17,0.001,SLC19A1,chr21,45493572,45544411,-
207,ENSG00000154760.12,0.001,SLFN13,chr17,35435096,35448837,-
208,ENSG00000184575.10,0.001,XPOT,chr12,64404350,64451127,+
209,ENSG00000267446.1,0.001,CTB-39G8.2,chr17,45371402,45372057,-
210,ENSG00000132436.10,0.001,FIGNL1,chr7,50444128,50542535,-
211,ENSG00000105173.12,0.001,CCNE1,chr19,29811898,29824308,+
212,ENSG00000183615.5,0.001,FAM167B,chr1,32247233,32248856,+
213,ENSG00000112320.10,0.001,SOBP,chr6,107489958,107660167,+
214,ENSG00000244005.11,0.001,NFS1,chr20,35668055,35699359,-
215,ENSG00000166012.13,0.001,TAF1D,chr11,93729948,93784391,-
216,ENSG00000137812.18,0.001,CASC5,chr15,40594020,40664342,+
217,ENSG00000123415.13,0.001,SMUG1,chr12,54164745,54188994,-
218,ENSG00000269711.1,0.001,CTD-3214H19.16,chr19,7678501,7682854,+
219,ENSG00000062038.12,0.001,CDH3,chr16,68636189,68722616,+
220,ENSG00000271643.1,0.001,RP11-10C24.3,chr3,33795688,33796950,-
221,ENSG00000135063.16,0.001,FAM189A2,chr9,69324572,69392455,+
222,ENSG00000178773.13,0.001,CPNE7,chr16,89575768,89597246,+
223,ENSG00000090530.8,0.001,P3H2,chr3,189956728,190122437,-
224,ENSG00000142871.14,0.001,CYR61,chr1,85580761,85583962,+
225,ENSG00000143476.16,0.001,DTL,chr1,212035553,212107400,+
226,ENSG00000178397.11,0.001,FAM220A,chr7,6329409,6348981,-
227,ENSG00000130755.11,0.001,GMFG,chr19,39328353,39342372,-
228,ENSG00000159339.12,0.001,PADI4,chr1,17308195,17364004,+
229,ENSG00000234646.4,0.001,RP4-753D10.3,chr20,23031542,23039236,+
230,ENSG00000274736.3,0.001,CCL23,chr17,36013056,36017968,-
231,ENSG00000019186.8,0.001,CYP24A1,chr20,54153449,54173973,-
232,ENSG00000159708.16,0.001,LRRC36,chr16,67326798,67385203,+
233,ENSG00000049768.13,0.001,FOXP3,chrX,49250436,49264826,-
234,ENSG00000124143.9,0.001,ARHGAP40,chr20,38601934,38651035,+
235,ENSG00000165724.5,0.001,ZMYND19,chr9,137582079,137590490,-
236,ENSG00000010244.15,0.001,ZNF207,chr17,32350117,32381886,+
237,ENSG00000119457.7,0.001,SLC46A2,chr9,112878920,112890913,-
238,ENSG00000151208.15,0.001,DLG5,chr10,77790791,77926526,-
239,ENSG00000166106.3,0.001,ADAMTS15,chr11,130448974,130476641,+
240,ENSG00000173715.14,0.001,C11orf80,chr11,66744451,66843328,+
241,ENSG00000235565.1,0.001,RP11-86H7.7,chr1,94621151,94624184,-
242,ENSG00000175305.15,0.001,CCNE2,chr8,94879770,94896678,-
243,ENSG00000013573.15,0.001,DDX11,chr12,31073845,31104791,+
244,ENSG00000231768.1,0.001,LINC01354,chr1,234527891,234531779,-
245,ENSG00000187953.9,0.001,PMS2CL,chr7,6710128,6753862,+
246,ENSG00000234147.1,0.001,RP3-460G2.2,chr6,140845958,140852924,-
247,ENSG00000143171.11,0.001,RXRG,chr1,165400917,165445355,-
248,ENSG00000095713.12,0.001,CRTAC1,chr10,97865000,98030828,-
249,ENSG00000135953.9,0.001,MFSD9,chr2,102715840,102736888,-
250,ENSG00000171877.18,0.001,FRMD5,chr15,43870761,44195252,-
251,ENSG00000145335.14,0.001,SNCA,chr4,89724099,89838315,-
252,ENSG00000207110.1,0.001,RNU1-106P,chr8,127999131,127999294,+
253,ENSG00000259761.1,0.001,RP11-138H10.2,chr15,87042054,87047161,+
254,ENSG00000047617.13,0.001,ANO2,chr12,5531869,5946232,-
255,ENSG00000206177.5,0.001,HBM,chr16,153892,166768,+
256,ENSG00000102384.12,0.001,CENPI,chrX,101098218,101163681,+
257,ENSG00000108379.8,0.001,WNT3,chr17,46762506,46833154,-
258,ENSG00000278971.1,0.001,RP11-644A7.2,chr18,70489630,70491205,+
259,ENSG00000130844.15,0.001,ZNF331,chr19,53520981,53580269,+
260,ENSG00000167910.3,0.001,CYP7A1,chr8,58490178,58500236,-
261,ENSG00000180481.9,0.001,GLIPR1L2,chr12,75391070,75432688,+
262,ENSG00000186198.3,0.001,SLC51B,chr15,65045370,65053396,+
263,ENSG00000232093.1,0.001,RP11-307C12.11,chr1,155045191,155046118,-
264,ENSG00000265055.1,0.001,AC145343.2,chr17,68096046,68101474,-
265,ENSG00000207980.1,0.001,MIR23A,chr19,13836587,13836659,-
266,ENSG00000254847.1,0.001,RP11-51B23.3,chr11,12538083,12540967,-
267,ENSG00000174326.10,0.001,SLC16A11,chr17,7041630,7043923,-
268,ENSG00000116701.13,0.001,NCF2,chr1,183555563,183590876,-
269,ENSG00000101955.13,0.001,SRPX,chrX,38149336,38220924,-
270,ENSG00000159307.17,0.001,SCUBE1,chr22,43197283,43343388,-
271,ENSG00000198901.12,0.001,PRC1,chr15,90966038,90995629,-
272,ENSG00000087074.7,0.001,PPP1R15A,chr19,48872392,48876057,+
273,ENSG00000267505.1,0.001,CTC-296K1.3,chr17,44793199,44794474,+
274,ENSG00000000460.15,0.001,C1orf112,chr1,169662007,169854080,+
275,ENSG00000236675.1,0.001,MTX1P1,chr1,155230975,155234325,+
276,ENSG00000111665.10,0.001,CDCA3,chr12,6844793,6852066,-
277,ENSG00000156876.9,0.001,SASS6,chr1,100083563,100132955,-
278,ENSG00000067057.15,0.001,PFKP,chr10,3066333,3137712,+
279,ENSG00000157368.9,0.001,IL34,chr16,70579895,70660682,+
280,ENSG00000196684.11,0.001,HSH2D,chr19,16134028,16158575,+
281,ENSG00000211445.10,0.001,GPX3,chr5,151020438,151028993,+
282,ENSG00000058600.14,0.001,POLR3E,chr16,22297375,22335103,+
283,ENSG00000271324.1,0.001,RP11-10C24.2,chr3,33793644,33794145,-
284,ENSG00000204949.7,0.001,FAM83A-AS1,chr8,123201172,123202743,-
285,ENSG00000100196.9,0.001,KDELR3,chr22,38468062,38483447,+
286,ENSG00000184216.10,0.001,IRAK1,chrX,154010500,154019980,-
287,ENSG00000187583.9,0.001,PLEKHN1,chr1,966497,975865,+
